Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
390,Louis B Gohmert Jr. (R-Texas),"$15,001","$32,500","$50,000",House
391,Debbie Stabenow (D-Mich),"$15,001","$32,500","$50,000",Senate
392,Betty McCollum (D-Minn),"$4,004","$32,002","$60,000",House
393,John Lewis (D-Ga),"$1,005","$10,002","$19,000",House
394,Paul Tonko (D-NY),"$1,001","$8,000","$15,000",House
395,Jaime Herrera Beutler (R-Wash),"$1,001","$8,000","$15,000",House
396,Adriano Espaillat (D-NY),"$1,001","$8,000","$15,000",House
397,Clay Higgins (R-La),$0,$0,$0,House
398,Rick Crawford (R-Ark),$0,$0,$0,House
399,Gwen Moore (D-Wis),$0,$0,$0,House
400,Amy Klobuchar (D-Minn),$0,$0,$0,Senate
401,Lee Zeldin (R-NY),$0,$0,$0,House
402,Gregory W Meeks (D-NY),$0,$0,$0,House
403,Tim Ryan (D-Ohio),"-$164,991","-$1,997","$160,997",House
404,Jason Smith (R-Mo),"-$1,786,970","-$5,490","$1,775,990",House
405,Duncan D. Hunter (R-Calif),"-$15,000","-$12,500","-$10,000",House
406,Andre Carson (D-Ind),"-$48,999","-$24,500",-$1,House
407,Eliot L Engel (D-NY),"-$182,995","-$31,498","$119,999",House
408,Mike Johnson (R-La),"-$50,000","-$32,500","-$15,001",House
409,Eric Swalwell (D-Calif),"-$113,998","-$37,000","$39,998",House
410,Tony Cardenas (D-Calif),"-$299,991","-$47,499","$204,992",House
411,John Katko (R-NY),"-$98,999","-$67,000","-$35,001",House
412,Jenniffer Gonzalez (3-PR),"-$100,000","-$75,000","-$50,001",House
413,Marc Veasey (D-Texas),"-$194,993","-$79,498","$35,997",House
414,Patrick Leahy (D-Vt),"-$330,992","-$85,496","$159,999",Senate
415,Stacey Plaskett (D-VI),"-$115,000","-$87,500","-$60,001",House
416,Hank Johnson (D-Ga),"-$219,998","-$109,999",-$1,House
417,Mark Walker (R-NC),"-$165,000","-$110,001","-$55,003",House
418,Brian Fitzpatrick (R-Pa),"-$678,998","-$124,500","$429,997",House
419,Trent Kelly (R-Miss),"-$200,000","-$140,001","-$80,003",House
420,Christopher S Murphy (D-Conn),"-$1,069,978","-$149,991","$769,996",Senate
421,Roger Wicker (R-Miss),"-$788,986","-$180,995","$426,995",Senate
422,Sheila Jackson Lee (D-Texas),"-$681,993","-$181,001","$319,991",House
423,Joni Ernst (R-Iowa),"-$783,966","-$196,984","$389,998",Senate
424,Doug Collins (R-Ga),"-$747,988","-$246,494","$254,999",House
425,Brian Schatz (D-Hawaii),"-$1,242,983","-$554,493","$133,997",Senate
426,Tim Scott (R-SC),"-$1,862,988","-$1,053,997","-$245,007",Senate
427,Jim Langevin (D-RI),"-$3,812,969","-$1,078,494","$1,655,980",House
428,Bill Cassidy (R-La),"-$3,001,937","-$1,115,970","$769,996",Senate
429,Marco Rubio (R-Fla),"-$1,896,988","-$1,262,995","-$629,002",Senate
430,Todd Young (R-Ind),"-$1,995,994","-$1,392,999","-$790,005",Senate
431,Bobby L Rush (D-Ill),"-$4,499,999","-$2,250,000",-$1,House
432,Emanuel Cleaver (D-Mo),"-$4,623,988","-$2,266,995","$89,998",House
433,Alcee L Hastings (D-Fla),"-$12,097,998","-$7,549,002","-$3,000,006",House
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
