Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
214,Mo Brooks (R-Ala),"$527,059","$1,191,529","$1,856,000",House
215,Jodey Arrington (R-Texas),"$616,031","$1,190,515","$1,765,000",House
216,Steve Stivers (R-Ohio),"$591,041","$1,181,020","$1,771,000",House
217,Brenda Lawrence (D-Mich),"$621,021","$1,173,010","$1,724,999",House
218,Sean Patrick Maloney (D-NY),"$754,006","$1,157,003","$1,560,000",House
219,Mike Doyle (D-Pa),"$531,039","$1,153,019","$1,774,999",House
220,Tammy Baldwin (D-Wis),"$434,008","$1,147,003","$1,859,998",Senate
221,Charles E Schumer (D-NY),"$370,043","$1,122,521","$1,874,999",Senate
222,Glenn S Grothman (R-Wis),"$635,015","$1,105,007","$1,575,000",House
223,Vicente Gonzalez (D-Texas),"$1,090,921","$1,090,921","$1,090,921",House
224,Paul Cook (R-Calif),"$629,016","$1,070,508","$1,512,000",House
225,Ron Estes (R-Kan),"$489,047","$1,055,023","$1,621,000",House
226,Ken Buck (R-Colo),"$416,027","$1,053,013","$1,689,999",House
227,Paul Gosar (R-Ariz),"$650,002","$1,050,000","$1,449,999",House
228,John Bergman (R-Mich),"$647,010","$1,014,005","$1,381,000",House
229,Clarence Thomas,"$575,009","$1,000,004","$1,425,000",Judicial
230,Joe Courtney (D-Conn),"$442,045","$987,022","$1,532,000",House
231,Lindsey Graham (R-SC),"$258,046","$969,022","$1,679,999",Senate
232,Cheri Bustos (D-Ill),"$532,020","$956,010","$1,380,000",House
233,Steve Chabot (R-Ohio),"$510,027","$955,513","$1,401,000",House
234,Bill Johnson (R-Ohio),"$417,037","$948,518","$1,480,000",House
235,Mike Crapo (R-Idaho),"$204,044","$944,521","$1,684,999",Senate
236,Evan Jenkins (R-WVa),"$399,046","$920,023","$1,441,000",House
237,Grace Napolitano (D-Calif),"$36,012","$913,004","$1,789,996",House
238,Steven Palazzo (R-Miss),"$172,006","$908,501","$1,644,997",House
239,Ted Deutch (D-Fla),"$357,050","$907,525","$1,458,000",House
240,Bennie G Thompson (D-Miss),"$469,023","$889,511","$1,310,000",House
241,Scott Perry (R-Pa),"$355,019","$877,508","$1,399,998",House
242,Mike Gallagher (R-Wis),"$466,016","$853,007","$1,239,999",House
243,Don Bacon (R-Neb),"$494,013","$852,006","$1,210,000",House
244,Cory Gardner (R-Colo),"$326,038","$850,518","$1,374,999",Senate
245,Hakeem Jeffries (D-NY),"$452,024","$841,012","$1,230,000",House
246,Val Demings (D-Fla),"$468,008","$824,003","$1,179,999",House
247,Daniel Webster (R-Fla),"$483,008","$814,004","$1,145,000",House
248,Tim Kaine (D-Va),"$409,018","$811,008","$1,212,999",Senate
249,Cory Booker (D-NJ),"$515,006","$807,503","$1,100,000",Senate
250,Bill Posey (R-Fla),"$432,010","$807,004","$1,181,999",House
251,John Shimkus (R-Ill),"$251,007","$803,003","$1,354,999",House
252,Maxine Waters (D-Calif),"-$3,579,987","$793,006","$5,165,999",House
253,Rand Paul (R-Ky),"$170,041","$773,520","$1,376,999",Senate
254,Marcia L Fudge (D-Ohio),"$256,011","$773,004","$1,289,998",House
255,Kevin Brady (R-Texas),"$405,026","$766,513","$1,128,000",House
256,Patrick McHenry (R-NC),"$393,015","$765,007","$1,137,000",House
257,Jan Schakowsky (D-Ill),"$258,036","$749,017","$1,239,998",House
258,Nydia M Velazquez (D-NY),"$485,001","$737,500","$990,000",House
259,Seth Moulton (D-Mass),"$180,069","$728,534","$1,277,000",House
260,G K Butterfield (D-NC),"-$255,981","$727,007","$1,709,995",House
261,Grace Meng (D-NY),"$139,047","$708,522","$1,277,998",House
262,David Rouzer (R-NC),"$369,023","$703,011","$1,037,000",House
263,Tammy Duckworth (D-Ill),"$139,063","$697,531","$1,255,999",Senate
264,Rick Larsen (D-Wash),"$372,019","$676,509","$981,000",House
265,Randy Weber (R-Texas),"$250,008","$676,003","$1,101,999",House
266,Mark Meadows (R-NC),"$66,022","$666,010","$1,265,999",House
267,Bonnie Coleman (D-NJ),"$350,002","$642,500","$934,998",House
268,Darren Soto (D-Fla),"-$17,990","$641,002","$1,299,995",House
269,David Schweikert (R-Ariz),"$286,011","$618,004","$949,998",House
270,Eddie Bernice Johnson (D-Texas),"$266,003","$615,501","$964,999",House
271,Bob Casey (D-Pa),"$142,020","$609,007","$1,075,995",Senate
272,Henry Cuellar (D-Texas),"$19,018","$602,008","$1,184,999",House
273,Derek Kilmer (D-Wash),"$180,043","$596,521","$1,012,999",House
274,Mac Thornberry (R-Texas),"$104,006","$582,002","$1,059,999",House
275,Robert Menendez (D-NJ),"$303,005","$541,502","$779,999",Senate
276,Adrian Smith (R-Neb),"$256,016","$535,508","$815,000",House
277,Pete King (R-NY),"$350,003","$525,001","$700,000",House
278,Dan Kildee (D-Mich),"$295,006","$522,503","$750,000",House
279,John Sarbanes (D-Md),"$298,010","$521,505","$745,000",House
280,Bernie Sanders (I-Vt),"-$27,973","$513,513","$1,054,999",Senate
281,Bruce Westerman (R-Ark),"$214,025","$512,012","$810,000",House
282,Linda Sanchez (D-Calif),"-$73,979","$508,508","$1,090,996",House
283,Charlie Dent (R-Pa),"$210,032","$507,016","$804,000",House
284,David Loebsack (D-Iowa),"$258,013","$502,006","$746,000",House
285,Tom Cotton (R-Ark),"$229,017","$498,008","$767,000",Senate
286,Tom Graves (R-Ga),"$38,027","$491,512","$944,998",House
287,Raul Ruiz (D-Calif),"$217,005","$491,001","$764,998",House
288,Michael R Turner (R-Ohio),"$183,029","$489,514","$796,000",House
289,Ruben Gallego (D-Ariz),"$189,013","$479,505","$769,998",House
290,Sam Graves (R-Mo),"-$4,339,490","$473,002","$5,285,494",House
291,John B Larson (D-Conn),"$91,050","$466,025","$841,000",House
292,Warren Davidson (R-Ohio),"-$4,003,989","$457,004","$4,917,998",House
293,Hal Rogers (R-Ky),"$322,330","$446,327","$570,324",House
294,Ed Perlmutter (D-Colo),"$117,043","$437,521","$758,000",House
295,Andy Barr (R-Ky),"$224,013","$429,506","$635,000",House
296,Danny K Davis (D-Ill),"$266,009","$418,504","$571,000",House
297,Karen Bass (D-Calif),"$266,003","$415,501","$565,000",House
298,Mike Lee (R-Utah),"$208,010","$414,005","$620,000",Senate
299,Adam Kinzinger (R-Ill),"$161,007","$413,003","$664,999",House
